promocode_id,promocode,description,company_name,event_id,event_title,period_month,times_used,booking_lines,tickets,total_discount,partner_name,category,venue
,SEED-M09-ALJAZEERAI-URB,"Al Jazeera Imtiyazat",,evt-ua,"Urban Arena - Doha Mall",2026-09,2,2,3,73.25,"Al Jazeera Imtiyazat","Corporate discount","Urban Arena"
,SEED-M09-ALJAZEERAI-INF,"Al Jazeera Imtiyazat",,evt-ip,"Inflatapark - City Center",2026-09,2,2,4,73.25,"Al Jazeera Imtiyazat","Corporate discount","InflataPark"
,SEED-M09-ALJAZEERAI-KID,"Al Jazeera Imtiyazat",,evt-kds,"Kids City Driving School",2026-09,2,2,4,73.25,"Al Jazeera Imtiyazat","Corporate discount","Kids City Driving School"
,SEED-M09-MYBOOK-URB,"My Book",,evt-ua,"Urban Arena - Doha Mall",2026-09,9,9,9,1648.44,"My Book","Aggregator BOGO","Urban Arena"
,SEED-M09-MYBOOK-INF,"My Book",,evt-ip,"Inflatapark - City Center",2026-09,9,9,9,1648.44,"My Book","Aggregator BOGO","InflataPark"
,SEED-M09-MYBOOK-KID,"My Book",,evt-kds,"Kids City Driving School",2026-09,7,7,7,1282.12,"My Book","Aggregator BOGO","Kids City Driving School"
,SEED-M09-QIB-KID,"QIB",,evt-kds,"Kids City Driving School",2026-09,2,2,8,69.6,"QIB","Corporate discount","Kids City Driving School"
,SEED-M09-QIB-CRA,"QIB",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,3,3,13,104.4,"QIB","Corporate discount","Crayons & Bricks Vendome"
,SEED-M09-QATARAIRWA-URB,"Qatar Airways",,evt-ua,"Urban Arena - Doha Mall",2026-09,18,18,56,396.82,"Qatar Airways","Corporate discount","Urban Arena"
,SEED-M09-QATARAIRWA-INF,"Qatar Airways",,evt-ip,"Inflatapark - City Center",2026-09,18,18,56,396.82,"Qatar Airways","Corporate discount","InflataPark"
,SEED-M09-QATARAIRWA-KID,"Qatar Airways",,evt-kds,"Kids City Driving School",2026-09,18,18,56,396.82,"Qatar Airways","Corporate discount","Kids City Driving School"
,SEED-M09-QATARAIRWA-CRA,"Qatar Airways",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,12,12,37,264.54,"Qatar Airways","Corporate discount","Crayons & Bricks Vendome"
,SEED-M09-ENTERTAINE-URB,"Entertainer",,evt-ua,"Urban Arena - Doha Mall",2026-09,9,9,9,1228.26,"Entertainer","Aggregator BOGO","Urban Arena"
,SEED-M09-ENTERTAINE-INF,"Entertainer",,evt-ip,"Inflatapark - City Center",2026-09,6,6,6,818.84,"Entertainer","Aggregator BOGO","InflataPark"
,SEED-M09-ENTERTAINE-KID,"Entertainer",,evt-kds,"Kids City Driving School",2026-09,4,4,4,545.9,"Entertainer","Aggregator BOGO","Kids City Driving School"
,SEED-M09-PUBLICHEAL-URB,"Public Health Sector (Sogha)",,evt-ua,"Urban Arena - Doha Mall",2026-09,17,17,53,511.33,"Public Health Sector (Sogha)","Corporate discount","Urban Arena"
,SEED-M09-PUBLICHEAL-INF,"Public Health Sector (Sogha)",,evt-ip,"Inflatapark - City Center",2026-09,14,14,44,421.1,"Public Health Sector (Sogha)","Corporate discount","InflataPark"
,SEED-M09-PUBLICHEAL-KID,"Public Health Sector (Sogha)",,evt-kds,"Kids City Driving School",2026-09,10,10,30,300.78,"Public Health Sector (Sogha)","Corporate discount","Kids City Driving School"
,SEED-M09-PUBLICHEAL-CRA,"Public Health Sector (Sogha)",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,10,10,30,300.79,"Public Health Sector (Sogha)","Corporate discount","Crayons & Bricks Vendome"
,SEED-M09-URBANPOINT-URB,"Urban Point",,evt-ua,"Urban Arena - Doha Mall",2026-09,21,21,21,3295.43,"Urban Point","Aggregator BOGO","Urban Arena"
,SEED-M09-URBANPOINT-INF,"Urban Point",,evt-ip,"Inflatapark - City Center",2026-09,15,15,15,2353.88,"Urban Point","Aggregator BOGO","InflataPark"
,SEED-M09-URBANPOINT-KID,"Urban Point",,evt-kds,"Kids City Driving School",2026-09,4,4,4,627.69,"Urban Point","Aggregator BOGO","Kids City Driving School"
,SEED-M09-QATARLIVIN-INF,"Qatar Living Deals",,evt-ip,"Inflatapark - City Center",2026-09,1,1,1,100,"Qatar Living Deals","Aggregator BOGO","InflataPark"
,SEED-M09-IMTYAZAT-URB,"Imtyazat",,evt-ua,"Urban Arena - Doha Mall",2026-09,22,22,93,678.79,"Imtyazat","Corporate discount","Urban Arena"
,SEED-M09-IMTYAZAT-INF,"Imtyazat",,evt-ip,"Inflatapark - City Center",2026-09,22,22,94,678.79,"Imtyazat","Corporate discount","InflataPark"
,SEED-M09-IMTYAZAT-KID,"Imtyazat",,evt-kds,"Kids City Driving School",2026-09,18,18,76,555.38,"Imtyazat","Corporate discount","Kids City Driving School"
,SEED-M09-IMTYAZAT-CRA,"Imtyazat",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,10,10,42,308.54,"Imtyazat","Corporate discount","Crayons & Bricks Vendome"
,SEED-M09-QATARFOUND-URB,"Qatar Foundation",,evt-ua,"Urban Arena - Doha Mall",2026-09,11,11,44,346.65,"Qatar Foundation","Corporate discount","Urban Arena"
,SEED-M09-QATARFOUND-INF,"Qatar Foundation",,evt-ip,"Inflatapark - City Center",2026-09,11,11,44,346.65,"Qatar Foundation","Corporate discount","InflataPark"
,SEED-M09-QATARFOUND-KID,"Qatar Foundation",,evt-kds,"Kids City Driving School",2026-09,7,7,27,220.59,"Qatar Foundation","Corporate discount","Kids City Driving School"
,SEED-M09-QATARFOUND-CRA,"Qatar Foundation",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,5,5,19,157.56,"Qatar Foundation","Corporate discount","Crayons & Bricks Vendome"
,SEED-M09-QATARINVES-URB,"Qatar Investment Authority",,evt-ua,"Urban Arena - Doha Mall",2026-09,7,7,27,189.53,"Qatar Investment Authority","Corporate discount","Urban Arena"
,SEED-M09-QATARINVES-INF,"Qatar Investment Authority",,evt-ip,"Inflatapark - City Center",2026-09,5,5,20,135.38,"Qatar Investment Authority","Corporate discount","InflataPark"
,SEED-M09-QATARINVES-KID,"Qatar Investment Authority",,evt-kds,"Kids City Driving School",2026-09,5,5,19,135.38,"Qatar Investment Authority","Corporate discount","Kids City Driving School"
,SEED-M09-QATARINVES-CRA,"Qatar Investment Authority",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,3,3,11,81.21,"Qatar Investment Authority","Corporate discount","Crayons & Bricks Vendome"
,SEED-M09-BEIN-URB,"Bein",,evt-ua,"Urban Arena - Doha Mall",2026-09,1,1,6,52.5,"Bein","Corporate discount","Urban Arena"
,SEED-M09-ASPIRE-URB,"Aspire",,evt-ua,"Urban Arena - Doha Mall",2026-09,3,3,14,97.65,"Aspire","Corporate discount","Urban Arena"
,SEED-M09-ASPIRE-INF,"Aspire",,evt-ip,"Inflatapark - City Center",2026-09,1,1,5,32.55,"Aspire","Corporate discount","InflataPark"
,SEED-M09-ASPIRE-KID,"Aspire",,evt-kds,"Kids City Driving School",2026-09,1,1,4,32.55,"Aspire","Corporate discount","Kids City Driving School"
,SEED-M09-QNBREWARDS-URB,"QNB Rewards",,evt-ua,"Urban Arena - Doha Mall",2026-09,2,2,6,50.5,"QNB Rewards","Corporate discount","Urban Arena"
,SEED-M09-QNBREWARDS-KID,"QNB Rewards",,evt-kds,"Kids City Driving School",2026-09,2,2,6,50.5,"QNB Rewards","Corporate discount","Kids City Driving School"
,SEED-M09-QNBREWARDS-CRA,"QNB Rewards",,evt-cbv,"Crayons & Bricks - Vendome Mall",2026-09,2,2,6,50.5,"QNB Rewards","Corporate discount","Crayons & Bricks Vendome"
,loyaltykds,"loyalty pass free city pass",,evt-kds,"Kids City Driving School",2026-09,13,13,13,585,"","Internal / promotion","Kids City Driving School"
,loyaltyinf,"Loyalty pass",,evt-ip,"Inflatapark - City Center",2026-09,1,1,1,45,"","Internal / promotion","InflataPark"
,loyalty,"Loyalty customer free rookie pass",,evt-ua,"Urban Arena - Doha Mall",2026-09,1,1,1,45,"","Internal / promotion","Urban Arena"
,cafe50,"50% off on cafe",,evt-ua,"Urban Arena - Doha Mall",2026-09,63,78,78,443.5,"","Internal / promotion","Urban Arena"
,karak100,"In-house karak offer",,evt-ua,"Urban Arena - Doha Mall",2026-09,1,3,3,15,"","Internal / promotion","Urban Arena"
