promocode_id,promocode,description,company_name,event_id,event_title,period_week,times_used,booking_lines,tickets,total_discount,partner_name,category,venue
,SEED-W37-URBANPOINT-URB,"Urban Point",,evt-ua,"Urban Arena - Doha Mall",2026-W37,14,14,14,1904,"Urban Point","Aggregator BOGO","Urban Arena"
,SEED-W37-MYBOOK-URB,"My Book",,evt-ua,"Urban Arena - Doha Mall",2026-W37,5,5,5,680,"My Book","Aggregator BOGO","Urban Arena"
,SEED-W37-ENTERTAINE-URB,"Entertainer",,evt-ua,"Urban Arena - Doha Mall",2026-W37,6,6,6,816,"Entertainer","Aggregator BOGO","Urban Arena"
,SEED-W37-IMTYAZAT-URB,"Imtyazat",,evt-ua,"Urban Arena - Doha Mall",2026-W37,12,12,62,147.07,"Imtyazat","Corporate discount","Urban Arena"
,SEED-W37-QATARAIRWA-URB,"Qatar Airways",,evt-ua,"Urban Arena - Doha Mall",2026-W37,10,10,52,122.56,"Qatar Airways","Corporate discount","Urban Arena"
,SEED-W37-PUBLICHEAL-URB,"Public Health Sector (Sogha)",,evt-ua,"Urban Arena - Doha Mall",2026-W37,8,8,42,98.05,"Public Health Sector (Sogha)","Corporate discount","Urban Arena"
,SEED-W37-QATARFOUND-URB,"Qatar Foundation",,evt-ua,"Urban Arena - Doha Mall",2026-W37,4,4,20,49.02,"Qatar Foundation","Corporate discount","Urban Arena"
,SEED-W37-QATARINVES-URB,"Qatar Investment Authority",,evt-ua,"Urban Arena - Doha Mall",2026-W37,4,4,20,49.02,"Qatar Investment Authority","Corporate discount","Urban Arena"
,SEED-W37-ASPIRE-URB,"Aspire",,evt-ua,"Urban Arena - Doha Mall",2026-W37,2,2,10,24.51,"Aspire","Corporate discount","Urban Arena"
,SEED-W37-ALJAZEERAI-URB,"Al Jazeera Imtiyazat",,evt-ua,"Urban Arena - Doha Mall",2026-W37,1,1,5,12.26,"Al Jazeera Imtiyazat","Corporate discount","Urban Arena"
,SEED-W37-QNBREWARDS-URB,"QNB Rewards",,evt-ua,"Urban Arena - Doha Mall",2026-W37,1,1,5,12.26,"QNB Rewards","Corporate discount","Urban Arena"
,SEED-W37-URBANPOINT-INF,"Urban Point",,evt-ip,"Inflatapark - City Center",2026-W37,10,10,10,1550,"Urban Point","Aggregator BOGO","InflataPark"
