id,location_id,location_code,occurred_at,channel,category,payment_method,amount,currency,cashier_id
361bba89-a4e7-4510-8cc8-02c127a0ed3e,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T10:00:00+03:00,kiosk,ticket,cash,1359,QAR,59491f32-bb71-494c-8639-a00c44188176
fbc9ff59-7bc4-457d-8666-3de62d700140,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T11:07:00+03:00,pos,fnb,card,1605,QAR,59491f32-bb71-494c-8639-a00c44188176
a8aad47c-0b60-494d-8b71-5d736bfddb6c,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T12:14:00+03:00,pos,retail,card,884,QAR,59491f32-bb71-494c-8639-a00c44188176
10cda8b2-c72e-4548-81fb-0d2587937171,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T13:21:00+03:00,pos,party,cash,1605,QAR,59491f32-bb71-494c-8639-a00c44188176
939137fa-3668-4dc9-8ad8-b25b75038169,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T14:28:00+03:00,pos,ticket,card,1403,QAR,59491f32-bb71-494c-8639-a00c44188176
fe339a65-81fd-4818-8f1d-4d73974b8ee5,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T15:35:00+03:00,kiosk,fnb,card,1484,QAR,59491f32-bb71-494c-8639-a00c44188176
2a3d36af-a52b-4b66-8621-23b0a21c9525,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T16:42:00+03:00,pos,retail,cash,1504,QAR,59491f32-bb71-494c-8639-a00c44188176
7703b9ac-9427-4314-8e82-d73e6f326cc7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T17:49:00+03:00,pos,party,card,1240,QAR,59491f32-bb71-494c-8639-a00c44188176
7290f75b-2293-4ac2-85ce-0678ab78b6a9,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-01T18:56:00+03:00,pos,ticket,card,870,QAR,59491f32-bb71-494c-8639-a00c44188176
a07b3c6f-2748-4777-803b-21435551e1a7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T10:00:00+03:00,kiosk,ticket,cash,1324,QAR,59491f32-bb71-494c-8639-a00c44188176
b83b7621-3f07-420f-8000-5d8e6fe63417,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T11:07:00+03:00,pos,fnb,card,730,QAR,59491f32-bb71-494c-8639-a00c44188176
92487017-12be-4a94-8ac4-0ab608b537a8,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T12:14:00+03:00,pos,retail,card,878,QAR,59491f32-bb71-494c-8639-a00c44188176
fe73f275-5581-426b-8ce8-168c80f93bb2,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T13:21:00+03:00,pos,party,cash,1222,QAR,59491f32-bb71-494c-8639-a00c44188176
61f98114-3b8e-417e-8c4a-8e1b56e00b83,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T14:28:00+03:00,pos,ticket,card,709,QAR,59491f32-bb71-494c-8639-a00c44188176
2e343995-db80-4320-84de-ea1e37b7e2a9,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T15:35:00+03:00,kiosk,fnb,card,1401,QAR,59491f32-bb71-494c-8639-a00c44188176
4cd291bd-e614-4bc6-8b68-c84832215fcc,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T16:42:00+03:00,pos,retail,cash,1477,QAR,59491f32-bb71-494c-8639-a00c44188176
e220cfee-f7d7-4f2d-8c4f-5c7d9cc34843,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T17:49:00+03:00,pos,party,card,667,QAR,59491f32-bb71-494c-8639-a00c44188176
735daa54-d87e-4bfe-8ec9-5505654c6da2,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T18:56:00+03:00,pos,ticket,card,755,QAR,59491f32-bb71-494c-8639-a00c44188176
b3ef9703-dac5-4a41-8aa8-b6a6710ea701,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-02T19:03:00+03:00,pos,fnb,cash,1310,QAR,59491f32-bb71-494c-8639-a00c44188176
605b1975-8a64-4c4f-8d4e-40fc8dcd0813,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T10:00:00+03:00,kiosk,ticket,cash,1080,QAR,59491f32-bb71-494c-8639-a00c44188176
d9309038-c23e-4235-8c83-fd9137861046,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T11:07:00+03:00,pos,fnb,card,1173,QAR,59491f32-bb71-494c-8639-a00c44188176
bb995ddb-32ef-4e20-8f8a-a90591ea1dd2,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T12:14:00+03:00,pos,retail,card,1111,QAR,59491f32-bb71-494c-8639-a00c44188176
dbef58ca-4f4e-47ea-8ec3-b78e87c01ff1,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T13:21:00+03:00,pos,party,cash,1388,QAR,59491f32-bb71-494c-8639-a00c44188176
63309810-cd9b-4a15-8908-2ec78cc6f0de,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T14:28:00+03:00,pos,ticket,card,868,QAR,59491f32-bb71-494c-8639-a00c44188176
c63e7af0-e9ac-408c-848e-ef71078668be,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T15:35:00+03:00,kiosk,fnb,card,1107,QAR,59491f32-bb71-494c-8639-a00c44188176
60e22ca2-a31b-4f44-8b1b-657198f09f6f,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,2026-06-03T16:42:00+03:00,pos,retail,cash,1198,QAR,59491f32-bb71-494c-8639-a00c44188176
